1	3
1	16
1	17
1	18
1	22
1	28
1	32
1	34
1	37
1	40
1	45
1	48
2	16
2	17
2	29
2	33
2	35
2	41
2	45
2	82
3	4
3	9
3	35
3	40
3	41
3	45
3	48
4	7
4	14
4	16
4	17
4	19
4	20
4	27
4	45
4	46
4	50
5	23
5	24
5	37
5	39
5	48
5	49
5	61
6	8
6	18
6	20
6	23
6	28
6	33
6	39
6	47
6	50
6	64
7	9
7	14
7	25
7	26
7	41
7	42
8	11
8	12
8	27
8	29
8	35
8	36
9	12
9	19
9	21
9	25
9	30
9	39
9	41
10	14
10	18
10	20
10	45
10	50
11	24
11	26
11	29
11	33
11	37
11	43
11	45
11	47
11	48
11	51
11	69
12	15
12	19
12	27
12	30
12	43
12	44
12	45
12	46
12	65
13	21
13	30
13	45
13	46
13	50
14	17
14	40
14	44
14	45
14	49
15	21
15	25
15	26
15	33
15	39
15	46
15	56
16	17
16	20
16	25
16	31
16	33
16	48
16	50
16	58
16	67
16	76
17	18
17	19
17	26
17	28
17	29
17	30
17	31
17	37
17	39
17	41
17	42
17	43
17	47
18	32
18	33
18	41
18	46
18	47
18	50
18	91
19	23
19	34
19	38
19	40
19	44
19	50
19	77
20	27
20	30
20	37
20	38
20	47
21	24
21	29
21	40
21	45
21	46
21	55
22	26
22	34
22	36
23	26
23	29
23	30
23	32
23	38
23	40
23	72
24	29
24	33
24	37
24	41
24	48
24	57
24	60
25	41
25	94
26	53
27	42
27	50
27	52
28	46
28	49
28	74
28	75
29	37
29	49
29	66
30	31
30	32
30	38
30	40
30	41
30	43
30	78
31	37
32	39
32	40
32	46
32	95
33	40
33	45
33	48
34	36
34	44
34	45
34	48
34	62
34	85
35	44
36	40
36	41
37	71
37	97
38	40
38	47
38	86
39	45
40	42
40	45
40	47
40	93
41	50
41	63
41	70
42	49
45	50
50	96
52	54
54	83
58	59
61	84
61	99
62	98
64	80
66	92
67	68
67	89
68	79
69	73
70	81
79	88
80	87
84	90
99	100
